brand,category,menu_name,price_krw,cost_rate
Chai797,딤섬,하가우,13000,0.3
Chai797,요리,호두꿀크림 중새우,53000,0.36
Chai797,면·밥,해물짬뽕,16000,0.28
Chai797,코스,런치코스,45000,0.34
호우섬,딤섬,새우완탕,11000,0.31
호우섬,면·밥,XO볶음밥,14000,0.27
호우섬,요리,멘보샤,24000,0.38
호우섬,음료·주류,칭따오,8000,0.22
서리재,구이,꽃등심구이,58000,0.42
서리재,구이,차돌박이,36000,0.4
서리재,식사,된장찌개,12000,0.25
서리재,주류,소주,5000,0.18
바른고기 정육점,한우구이,한우등심,72000,0.48
바른고기 정육점,한우구이,한우안창,58000,0.46
바른고기 정육점,식사,한우비빔밥,18000,0.3
바른고기 정육점,주류,와인글라스,15000,0.25
이타마에 스시,오마카세,런치 오마카세,90000,0.46
이타마에 스시,오마카세,디너 오마카세,180000,0.48
이타마에 스시,단품,스시 세트,55000,0.42
이타마에 스시,주류,사케,18000,0.28
