게시일,유형,제목,채널,대상sku,도달수,좋아요,저장수
2026-05-03,기획전,봄맞이 Voyager 신상 기획전,전채널,"VOY-DP-003,VOY-DMC-001,HLM-BAG-001",,,기획전 오픈
2026-05-03,릴스,Voyager 신상 데일리 룩,인스타그램,VOY-DP-003,18400,920,142
2026-05-08,피드,통근백 16인치 수납 리뷰,인스타그램,TOTE-001-WL,7300,410,33
2026-05-12,기획전,무신사 단독 5월 블랙 위크,전채널,"TOTE-001-WL,CITY-RK-001S,SHD-BAG-M",,,기획전 오픈
2026-05-12,릴스,블랙 위크 하울,인스타그램,CITY-RK-001S,24100,1510,205
2026-05-16,스토리,주말 보트토트 코디,인스타그램,BOAT-TT-M,5200,230,18
2026-05-22,기획전,29CM 위클리 PICK,전채널,"BOAT-TT-M,TOTE-001-XS,CAM-PCH-001",,,기획전 오픈
2026-05-22,캐러셀,29CM 컬러 8종 한눈에,인스타그램,BOAT-TT-M,9800,560,71
2026-05-25,피드,파우치 정리 꿀팁,인스타그램,HDL-PCH-001,6100,330,26
2026-05-28,기획전,자사몰 회원의 날,전채널,"TOTE-001-WL,VOY-DP-003,HDL-PCH-001",,,기획전 오픈
2026-05-28,릴스,회원의 날 베스트 모음,인스타그램,TOTE-001-WL,21200,1330,188
