sku,제품명,라인,카테고리,정가,자사몰판매가,원가,무신사수수료율,29CM수수료율,SSG수수료율,면세점수수료율,자사몰수수료율
TOTE-001-WL,TOTE BRIEF 001 WIDE L,Tote Brief,토트백,159000,151050,54050,0.3,0.28,0.22,0.1,0.035
TOTE-001-XS,TOTE BRIEF 001 XS,Tote Brief,토트백,59000,56050,21250,0.3,0.28,0.22,0.1,0.035
VOY-DP-003,VOYAGER DAYPACK 003,Voyager,백팩,119000,101150,39250,0.3,0.28,0.22,0.1,0.035
VOY-DMC-001,VOYAGER DOUBLE MINI CROSS 001,Voyager,크로스백,59000,50150,21850,0.3,0.28,0.22,0.1,0.035
CITY-RK-001S,CITY BOYS RUCKSACK 001 S,Cityboys,백팩,185000,166500,59200,0.3,0.28,0.22,0.1,0.035
CITY-LC-001,CITY BOYS LAPTOP CASE,Cityboys,노트북케이스,62000,58900,21700,0.3,0.28,0.22,0.1,0.035
SHD-BAG-M,SHOULDER BAG M,Glossy,숄더백,109000,103550,37050,0.3,0.28,0.22,0.1,0.035
BOAT-TT-M,BOAT TOTE BAG M,Glossy,토트백,89000,84550,31150,0.3,0.28,0.22,0.1,0.035
HDL-PCH-001,HANDLE POUCH 001,Accessory,파우치,25000,25000,10000,0.3,0.28,0.22,0.1,0.035
HDL-PCH-002,HANDLE POUCH 002,Accessory,파우치,25000,25000,10000,0.3,0.28,0.22,0.1,0.035
CAM-PCH-001,CAMERA POUCH 001,Accessory,파우치,35000,33250,13300,0.3,0.28,0.22,0.1,0.035
HLM-BAG-001,HELMET BAG 001,Voyager,크로스백,79000,75050,28450,0.3,0.28,0.22,0.1,0.035
